JSON,QUERY_ID,QUERY_TEXT,QUERY_TIME_SECONDS
twitter_large_record_(843MB),4,$[1:130000]..user,0.71469
twitter_large_record_(843MB),5,$[1:120000]..user,0.67341
twitter_large_record_(843MB),6,$[1:110000]..user,0.63181
twitter_large_record_(843MB),7,$[1:100000]..user,0.58927
twitter_large_record_(843MB),8,$[1:90000]..user,0.54916
twitter_large_record_(843MB),9,$[1:80000]..user,0.5079
twitter_large_record_(843MB),10,$[1:70000]..user,0.46472
twitter_large_record_(843MB),11,$[1:60000]..user,0.42147
twitter_large_record_(843MB),12,$[1:50000]..user,0.37684
twitter_large_record_(843MB),13,$[1:40000]..user,0.33231
twitter_large_record_(843MB),14,$[1:30000]..user,0.28803
twitter_large_record_(843MB),15,$[1:20000]..user,0.24442
twitter_large_record_(843MB),16,$[1:10000]..user,0.20106
twitter_large_record_(843MB),17,$[*].user.profile_sidebar_border_color,0.25424
twitter_large_record_(843MB),18,$[*].user.profile_image_url_https,0.26883
twitter_large_record_(843MB),19,$[*].retweeted_status.filter_level,0.27186
twitter_large_record_(843MB),20,$[*].retweeted_status.user.name,0.21226
twitter_large_record_(843MB),21,$[*].user.created_at,0.22172
twitter_large_record_(843MB),22,$[*].retweeted_status.id,0.19675
twitter_large_record_(843MB),23,$[*].user.screen_name,0.19035
twitter_large_record_(843MB),24,$[*].source,0.18034
twitter_large_record_(843MB),25,$[*].id,0.1668
twitter_large_record_(843MB),26,$[*].geo,0.2137
twitter_large_record_(843MB),27,$[*].retweeted_status[*],0.26798
twitter_large_record_(843MB),28,$[*]..id,0.81745
twitter_large_record_(843MB),200,$[*].entities..symbols[*],0.23444
twitter_large_record_(843MB),201,$[*].entities..url,0.27842
twitter_large_record_(843MB),202,$[*].entities.symbols[*],0.23236
twitter_large_record_(843MB),203,$[*].entities.symbols[1],0.23233
twitter_large_record_(843MB),204,$[*].entities.urls[*].display_url,0.22741
twitter_large_record_(843MB),205,$[*].timestamp_ms,0.27731
crossref4_(2.1GB),1,$.items[2].resource.primary.URL,0.37391
crossref4_(2.1GB),2,$.items[*].URL,0.37749
crossref4_(2.1GB),3,$.items[*].member,0.42514
crossref4_(2.1GB),4,$.items[*].score,0.43272
crossref4_(2.1GB),5,$.items[*].resource.primary.URL,0.41969
crossref4_(2.1GB),6,$.items[*].issued,0.58175
crossref4_(2.1GB),7,$.items[*].author[*].given,0.73514
crossref4_(2.1GB),8,$.items[*].author[*].family,0.75166
crossref4_(2.1GB),9,$.items[*].author[*].sequence,0.76761
crossref4_(2.1GB),10,$.items[*].author[*],0.68718
crossref4_(2.1GB),11,$.items[*].institution[*].name,0.90414
crossref4_(2.1GB),12,$.items[*].link[*]..URL,0.87273
crossref4_(2.1GB),13,$.items[*].assertion[*]..name,0.92761
crossref4_(2.1GB),14,$.items[*].reference[*].key,1.53421
crossref4_(2.1GB),15,$.items[*].reference[*].author,1.61814
crossref4_(2.1GB),16,$.items[*].reference[*].DOI,1.67425
crossref4_(2.1GB),17,$.items[*].reference[*].year,1.76177
crossref4_(2.1GB),18,$.items[*].reference[*].issue,1.65284
crossref4_(2.1GB),19,$.items[*].reference[*].volume,1.7561
crossref4_(2.1GB),20,$.items[*].reference[*],1.0522
crossref4_(2.1GB),21,$..URL,0.38599
