JSON,QUERY_ID,QUERY_TEXT,QUERY_TIME_SECONDS
twitter_large_record_(843MB),12,$[1:50000]..user,0.37743
twitter_large_record_(843MB),13,$[1:40000]..user,0.33279
twitter_large_record_(843MB),14,$[1:30000]..user,0.28814
twitter_large_record_(843MB),15,$[1:20000]..user,0.24404
twitter_large_record_(843MB),16,$[1:10000]..user,0.20062
twitter_large_record_(843MB),17,$[*].user.profile_sidebar_border_color,0.25546
twitter_large_record_(843MB),18,$[*].user.profile_image_url_https,0.27095
twitter_large_record_(843MB),19,$[*].retweeted_status.filter_level,0.27087
twitter_large_record_(843MB),20,$[*].retweeted_status.user.name,0.21166
twitter_large_record_(843MB),21,$[*].user.created_at,0.22252
twitter_large_record_(843MB),22,$[*].retweeted_status.id,0.19648
twitter_large_record_(843MB),23,$[*].user.screen_name,0.18986
twitter_large_record_(843MB),24,$[*].source,0.18003
twitter_large_record_(843MB),25,$[*].id,0.16609
twitter_large_record_(843MB),26,$[*].geo,0.21391
twitter_large_record_(843MB),27,$[*].retweeted_status[*],0.27992
twitter_large_record_(843MB),28,$[*]..id,0.82708
twitter_large_record_(843MB),200,$[*].entities..symbols[*],0.23437
twitter_large_record_(843MB),201,$[*].entities..url,0.27849
twitter_large_record_(843MB),202,$[*].entities.symbols[*],0.24204
twitter_large_record_(843MB),203,$[*].entities.symbols[1],0.24215
twitter_large_record_(843MB),204,$[*].entities.urls[*].display_url,0.23208
twitter_large_record_(843MB),205,$[*].timestamp_ms,0.2751
crossref4_(2.1GB),1,$.items[2].resource.primary.URL,0.37397
crossref4_(2.1GB),2,$.items[*].URL,0.37609
crossref4_(2.1GB),3,$.items[*].member,0.42192
crossref4_(2.1GB),4,$.items[*].score,0.42922
crossref4_(2.1GB),5,$.items[*].resource.primary.URL,0.41796
crossref4_(2.1GB),6,$.items[*].issued,0.57381
crossref4_(2.1GB),7,$.items[*].author[*].given,0.72824
crossref4_(2.1GB),8,$.items[*].author[*].family,0.74496
crossref4_(2.1GB),9,$.items[*].author[*].sequence,0.76058
crossref4_(2.1GB),10,$.items[*].author[*],0.71083
crossref4_(2.1GB),11,$.items[*].institution[*].name,0.88398
crossref4_(2.1GB),12,$.items[*].link[*]..URL,0.85944
crossref4_(2.1GB),13,$.items[*].assertion[*]..name,0.90893
crossref4_(2.1GB),14,$.items[*].reference[*].key,1.51089
crossref4_(2.1GB),15,$.items[*].reference[*].author,1.59332
crossref4_(2.1GB),16,$.items[*].reference[*].DOI,1.65336
crossref4_(2.1GB),17,$.items[*].reference[*].year,1.7408
crossref4_(2.1GB),18,$.items[*].reference[*].issue,1.62909
crossref4_(2.1GB),19,$.items[*].reference[*].volume,1.73414
crossref4_(2.1GB),20,$.items[*].reference[*],1.03427
crossref4_(2.1GB),21,$..URL,0.38979
