JSON,CUTOFF,QUERY_ID,QUERY_TEXT,SKIP_TIME_NANO_SECONDS
bestbuy_large_record_(1GB),128,14,$.products[*].additionalFeatures[*],40206456.2
bestbuy_large_record_(1GB),256,14,$.products[*].additionalFeatures[*],4180619.2
bestbuy_large_record_(1GB),512,14,$.products[*].additionalFeatures[*],3373869.6
bestbuy_large_record_(1GB),1024,14,$.products[*].additionalFeatures[*],123349.6
bestbuy_large_record_(1GB),2048,14,$.products[*].additionalFeatures[*],58603
bestbuy_large_record_(1GB),0,15,$.products[*].videoChapters,346663720.2
bestbuy_large_record_(1GB),64,15,$.products[*].videoChapters,66981440.4
bestbuy_large_record_(1GB),128,15,$.products[*].videoChapters,38890278.8
bestbuy_large_record_(1GB),256,15,$.products[*].videoChapters,1533151
bestbuy_large_record_(1GB),512,15,$.products[*].videoChapters,169294.8
bestbuy_large_record_(1GB),1024,15,$.products[*].videoChapters,21162.4
bestbuy_large_record_(1GB),2048,15,$.products[*].videoChapters,2662
bestbuy_large_record_(1GB),0,16,$..freeShipping,0
bestbuy_large_record_(1GB),64,16,$..freeShipping,0
bestbuy_large_record_(1GB),128,16,$..freeShipping,0
bestbuy_large_record_(1GB),256,16,$..freeShipping,0
bestbuy_large_record_(1GB),512,16,$..freeShipping,0
bestbuy_large_record_(1GB),1024,16,$..freeShipping,0
bestbuy_large_record_(1GB),2048,16,$..freeShipping,0
crossref1_(551MB),0,1,$.items[2].resource.primary.URL,98350724.6
crossref1_(551MB),64,1,$.items[2].resource.primary.URL,98350526.8
crossref1_(551MB),128,1,$.items[2].resource.primary.URL,98350526.8
crossref1_(551MB),256,1,$.items[2].resource.primary.URL,98350526.8
crossref1_(551MB),512,1,$.items[2].resource.primary.URL,98350526.8
crossref1_(551MB),1024,1,$.items[2].resource.primary.URL,98350526.8
crossref1_(551MB),2048,1,$.items[2].resource.primary.URL,98349328.8
crossref1_(551MB),0,2,$.items[*].URL,91605754.4
crossref1_(551MB),64,2,$.items[*].URL,91605480
crossref1_(551MB),128,2,$.items[*].URL,91605480
crossref1_(551MB),256,2,$.items[*].URL,91605480
crossref1_(551MB),512,2,$.items[*].URL,91605480
crossref1_(551MB),1024,2,$.items[*].URL,90523051.6
crossref1_(551MB),2048,2,$.items[*].URL,77691018.6
crossref1_(551MB),0,3,$.items[*].member,99561607.4
crossref1_(551MB),64,3,$.items[*].member,99209561.6
